번호,링크,날짜,앵글,참가자(선택),제목,주제(선택),등록자(선택)
117,https://www.youtube.com/watch?v=djiNOYUr9AM,2024-10-21,,,코오롱스포렉스 저녁반 (2024년 10월 21일),,
118,https://www.youtube.com/watch?v=V91GoVc_A4k,2024-10-18,,,코오롱스포렉스 저녁반 (2024년 10월 18일 금요일),,
119,https://www.youtube.com/watch?v=_vWTu2McCzI,2024-10-16,,,코오롱스포렉스 저녁반 (2024년 10월 16일),,
120,https://www.youtube.com/watch?v=mnuVezHtStU,2024-10-11,,,코오롱스포렉스 저녁반 (2024년 10월 12일),,
121,https://www.youtube.com/watch?v=EgVTWXy205Y,2024-10-08,,,코오롱스포렉스 저녁반 명지대 교류전,,
122,https://www.youtube.com/watch?v=PBMiosTYNko,2024-10-05,,,Melbourne Uni Training (2024.11.24),,
123,https://www.youtube.com/watch?v=xzWuej6LGl0,2024-10-05,,,20240608 코오롱스포렉스 조진용 선수와 교검,,
124,https://www.youtube.com/watch?v=OZC4m9dHHa0,2024-10-05,,,[2024] 이화검도부 호구식,,
125,https://www.youtube.com/watch?v=jQy9Ixdh5uU,2024-10-05,,,20240928 코오롱스포렉스 저녁반 기초,,
126,https://www.youtube.com/watch?v=6p354t37JeQ,2024-10-04,,,20241004 코오롱스포렉스 저녁반,,
127,https://www.youtube.com/watch?v=5OLiN08WEfE,2024-09-30,,,20240930 코오롱스포렉스 저녁반,,
128,https://www.youtube.com/watch?v=tlAT3h-Qvpw,2024-09-29,,,20240927 코오롱스포렉스 저녁반,,
129,https://www.youtube.com/watch?v=iezDNyqtzqg,2024-09-29,,,제 14회 서대문구청장기 검도대회 홍 이민영 백 박수빈,,
130,https://www.youtube.com/watch?v=SVHnqdLB-5w,2024-08-26,,,20240826 코오롱스포렉스 저녁반,,
131,https://www.youtube.com/watch?v=4XnspmwaBW8,2022-12-06,,,20221206 월요일 코오롱스포렉스,,
132,https://www.youtube.com/watch?v=CIeHYttIhUw,2022-11-30,,,20221130 수 코오롱스포렉스 저녁반,,
133,https://www.youtube.com/watch?v=n78ZAWH6pVU,2022-11-29,,,20221129 월 코오롱스포렉스 저녁운동,,
134,https://www.youtube.com/watch?v=nsi8xRkFRm8,2022-11-28,,,[2022] 이화검도부 제25회 연무식,,
135,https://www.youtube.com/watch?v=rc19JMsq1S4,2022-11-18,,,[2022] 이화검도부 창립 30주년 기념영상,,
136,https://www.youtube.com/watch?v=jWRTVvI7xEU,2022-02-03,,,[PREVIEW] Color:ing 4th Exhibition,,
137,https://www.youtube.com/watch?v=VsNxVHZbQ-I,2022-02-03,,,[PREVIEW ]Color:ing 4th Exhibition,,
138,https://www.youtube.com/watch?v=ExGky8tkgVw,2021-12-29,,,혼돈의 전투식량 언박싱,,
